Created as New Dataset,PK (polyketone) GF
cm-1,%T
2693.00,99.14
2692.00,99.14
2691.00,99.15
2690.00,99.15
2689.00,99.15
2688.00,99.16
2687.00,99.16
2686.00,99.16
2685.00,99.16
2684.00,99.16
2683.00,99.16
2682.00,99.16
2681.00,99.16
2680.00,99.16
2679.00,99.16
2678.00,99.17
2677.00,99.17
2676.00,99.16
2675.00,99.16
2674.00,99.17
2673.00,99.17
2672.00,99.17
2671.00,99.17
2670.00,99.17
2669.00,99.17
2668.00,99.17
2667.00,99.16
2666.00,99.16
2665.00,99.15
2664.00,99.14
2663.00,99.13
2662.00,99.12
2661.00,99.11
2660.00,99.09
2659.00,99.09
2658.00,99.08
2657.00,99.07
2656.00,99.06
2655.00,99.05
2654.00,99.05
2653.00,99.05
2652.00,99.05
2651.00,99.05
2650.00,99.05
2649.00,99.05
2648.00,99.05
2647.00,99.04
2646.00,99.04
2645.00,99.04
2644.00,99.04
2643.00,99.04
2642.00,99.04
2641.00,99.04
2640.00,99.04
2639.00,99.04
2638.00,99.05
2637.00,99.05
2636.00,99.05
2635.00,99.05
2634.00,99.05
2633.00,99.05
2632.00,99.05
2631.00,99.05
2630.00,99.06
2629.00,99.06
2628.00,99.06
2627.00,99.06
2626.00,99.06
2625.00,99.06
2624.00,99.06
2623.00,99.06
2622.00,99.07
2621.00,99.07
2620.00,99.07
2619.00,99.07
2618.00,99.07
2617.00,99.07
2616.00,99.07
2615.00,99.07
2614.00,99.08
2613.00,99.08
2612.00,99.08
2611.00,99.08
2610.00,99.08
2609.00,99.08
2608.00,99.07
2607.00,99.08
2606.00,99.09
2605.00,99.09
2604.00,99.09
2603.00,99.09
2602.00,99.09
2601.00,99.09
2600.00,99.10
2599.00,99.09
2598.00,99.10
2597.00,99.10
2596.00,99.10
2595.00,99.11
2594.00,99.12
2593.00,99.12
2592.00,99.12
2591.00,99.12
2590.00,99.12
2589.00,99.12
2588.00,99.12
2587.00,99.12
2586.00,99.12
2585.00,99.13
2584.00,99.13
2583.00,99.13
2582.00,99.14
2581.00,99.14
2580.00,99.15
2579.00,99.15
2578.00,99.15
2577.00,99.16
2576.00,99.15
2575.00,99.15
2574.00,99.15
2573.00,99.15
2572.00,99.15
2571.00,99.15
2570.00,99.15
2569.00,99.16
2568.00,99.16
2567.00,99.16
2566.00,99.16
2565.00,99.16
2564.00,99.16
2563.00,99.17
2562.00,99.17
2561.00,99.17
2560.00,99.17
2559.00,99.17
2558.00,99.17
2557.00,99.17
2556.00,99.17
2555.00,99.17
2554.00,99.18
2553.00,99.18
2552.00,99.17
2551.00,99.18
2550.00,99.19
2549.00,99.19
2548.00,99.19
2547.00,99.18
2546.00,99.19
2545.00,99.19
2544.00,99.18
2543.00,99.18
2542.00,99.19
2541.00,99.19
2540.00,99.18
2539.00,99.18
2538.00,99.18
2537.00,99.18
2536.00,99.18
2535.00,99.18
2534.00,99.18
2533.00,99.18
2532.00,99.18
2531.00,99.18
2530.00,99.18
2529.00,99.18
2528.00,99.17
2527.00,99.17
2526.00,99.17
2525.00,99.17
2524.00,99.17
2523.00,99.17
2522.00,99.17
2521.00,99.18
2520.00,99.17
2519.00,99.18
2518.00,99.18
2517.00,99.18
2516.00,99.18
2515.00,99.19
2514.00,99.19
2513.00,99.19
2512.00,99.19
2511.00,99.19
2510.00,99.19
2509.00,99.19
2508.00,99.19
2507.00,99.19
2506.00,99.20
2505.00,99.20
2504.00,99.19
2503.00,99.20
2502.00,99.20
2501.00,99.20
2500.00,99.20
2499.00,99.19
2498.00,99.19
2497.00,99.19
2496.00,99.18
2495.00,99.17
2494.00,99.17
2493.00,99.17
2492.00,99.17
2491.00,99.17
2490.00,99.17
2489.00,99.16
2488.00,99.15
2487.00,99.15
2486.00,99.14
2485.00,99.14
2484.00,99.14
2483.00,99.14
2482.00,99.14
2481.00,99.14
2480.00,99.13
2479.00,99.13
2478.00,99.14
2477.00,99.14
2476.00,99.13
2475.00,99.13
2474.00,99.13
2473.00,99.13
2472.00,99.13
2471.00,99.13
2470.00,99.14
2469.00,99.15
2468.00,99.15
