Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
2635.00,97.97
2634.00,97.97
2633.00,97.98
2632.00,97.99
2631.00,98.01
2630.00,98.02
2629.00,98.04
2628.00,98.06
2627.00,98.08
2626.00,98.10
2625.00,98.11
2624.00,98.13
2623.00,98.15
2622.00,98.16
2621.00,98.18
2620.00,98.19
2619.00,98.20
2618.00,98.22
2617.00,98.23
2616.00,98.24
2615.00,98.25
2614.00,98.27
2613.00,98.28
2612.00,98.28
2611.00,98.29
2610.00,98.30
2609.00,98.31
2608.00,98.33
2607.00,98.34
2606.00,98.35
2605.00,98.36
2604.00,98.36
2603.00,98.37
2602.00,98.37
2601.00,98.38
2600.00,98.39
2599.00,98.40
2598.00,98.41
2597.00,98.41
2596.00,98.42
2595.00,98.43
2594.00,98.43
2593.00,98.44
2592.00,98.45
2591.00,98.46
2590.00,98.47
2589.00,98.47
2588.00,98.48
2587.00,98.48
2586.00,98.49
2585.00,98.50
2584.00,98.50
2583.00,98.51
2582.00,98.52
2581.00,98.53
2580.00,98.53
2579.00,98.54
2578.00,98.55
2577.00,98.55
2576.00,98.56
2575.00,98.56
2574.00,98.57
2573.00,98.57
2572.00,98.57
2571.00,98.57
2570.00,98.57
2569.00,98.58
2568.00,98.58
2567.00,98.59
2566.00,98.59
2565.00,98.60
2564.00,98.60
2563.00,98.60
2562.00,98.61
2561.00,98.61
2560.00,98.61
2559.00,98.62
2558.00,98.63
2557.00,98.63
2556.00,98.63
2555.00,98.63
2554.00,98.63
2553.00,98.63
2552.00,98.63
2551.00,98.63
2550.00,98.63
2549.00,98.64
2548.00,98.64
2547.00,98.65
2546.00,98.66
2545.00,98.67
2544.00,98.68
2543.00,98.69
2542.00,98.70
2541.00,98.70
2540.00,98.71
2539.00,98.71
2538.00,98.72
2537.00,98.72
2536.00,98.72
2535.00,98.72
2534.00,98.72
2533.00,98.72
2532.00,98.71
2531.00,98.71
2530.00,98.70
2529.00,98.70
2528.00,98.71
2527.00,98.71
2526.00,98.72
2525.00,98.72
2524.00,98.73
2523.00,98.73
2522.00,98.74
2521.00,98.74
2520.00,98.75
2519.00,98.75
2518.00,98.75
2517.00,98.76
2516.00,98.76
2515.00,98.77
2514.00,98.77
2513.00,98.78
2512.00,98.78
2511.00,98.78
2510.00,98.78
2509.00,98.78
2508.00,98.78
2507.00,98.78
2506.00,98.78
2505.00,98.78
2504.00,98.78
2503.00,98.78
2502.00,98.78
2501.00,98.78
2500.00,98.78
2499.00,98.78
2498.00,98.78
2497.00,98.78
2496.00,98.79
2495.00,98.79
2494.00,98.79
2493.00,98.80
2492.00,98.80
2491.00,98.81
2490.00,98.81
2489.00,98.81
2488.00,98.81
2487.00,98.81
2486.00,98.82
2485.00,98.82
2484.00,98.81
2483.00,98.80
2482.00,98.80
2481.00,98.79
2480.00,98.80
2479.00,98.80
2478.00,98.80
2477.00,98.80
2476.00,98.80
