Created as New Dataset,PS 280kDa Sigma
cm-1,%T
2597.00,95.67
2596.00,95.68
2595.00,95.68
2594.00,95.69
2593.00,95.69
2592.00,95.69
2591.00,95.69
2590.00,95.69
2589.00,95.68
2588.00,95.68
2587.00,95.67
2586.00,95.67
2585.00,95.67
2584.00,95.66
2583.00,95.66
2582.00,95.66
2581.00,95.66
2580.00,95.66
2579.00,95.66
2578.00,95.67
2577.00,95.67
2576.00,95.68
2575.00,95.68
2574.00,95.68
2573.00,95.68
2572.00,95.68
2571.00,95.68
2570.00,95.67
2569.00,95.67
2568.00,95.67
2567.00,95.67
2566.00,95.68
2565.00,95.68
2564.00,95.68
2563.00,95.68
2562.00,95.68
2561.00,95.68
2560.00,95.68
2559.00,95.68
2558.00,95.68
2557.00,95.68
2556.00,95.68
2555.00,95.68
2554.00,95.68
2553.00,95.67
2552.00,95.67
2551.00,95.67
2550.00,95.67
2549.00,95.68
2548.00,95.68
2547.00,95.68
2546.00,95.68
2545.00,95.67
2544.00,95.67
2543.00,95.67
2542.00,95.67
2541.00,95.67
2540.00,95.67
2539.00,95.67
2538.00,95.67
2537.00,95.67
2536.00,95.67
2535.00,95.67
2534.00,95.67
2533.00,95.67
2532.00,95.67
2531.00,95.67
2530.00,95.67
2529.00,95.67
2528.00,95.67
2527.00,95.67
2526.00,95.67
2525.00,95.67
2524.00,95.67
2523.00,95.67
2522.00,95.67
2521.00,95.67
2520.00,95.66
2519.00,95.67
2518.00,95.67
2517.00,95.67
2516.00,95.67
2515.00,95.67
2514.00,95.67
2513.00,95.67
2512.00,95.66
2511.00,95.66
2510.00,95.66
2509.00,95.66
2508.00,95.66
2507.00,95.67
2506.00,95.67
2505.00,95.67
2504.00,95.67
2503.00,95.67
2502.00,95.67
2501.00,95.67
2500.00,95.67
2499.00,95.67
2498.00,95.67
2497.00,95.67
2496.00,95.67
2495.00,95.67
2494.00,95.67
2493.00,95.67
2492.00,95.67
2491.00,95.67
2490.00,95.67
2489.00,95.67
2488.00,95.67
2487.00,95.68
2486.00,95.68
2485.00,95.68
2484.00,95.68
2483.00,95.67
2482.00,95.66
2481.00,95.66
2480.00,95.67
2479.00,95.67
2478.00,95.68
2477.00,95.68
2476.00,95.69
2475.00,95.69
2474.00,95.69
2473.00,95.69
2472.00,95.69
2471.00,95.69
2470.00,95.70
2469.00,95.70
