Created as New Dataset,Acrylic Red
cm-1,%T
2716.00,98.60
2715.00,98.60
2714.00,98.61
2713.00,98.60
2712.00,98.60
2711.00,98.60
2710.00,98.60
2709.00,98.60
2708.00,98.60
2707.00,98.61
2706.00,98.61
2705.00,98.61
2704.00,98.61
2703.00,98.61
2702.00,98.61
2701.00,98.61
2700.00,98.61
2699.00,98.61
2698.00,98.61
2697.00,98.61
2696.00,98.61
2695.00,98.61
2694.00,98.61
2693.00,98.61
2692.00,98.61
2691.00,98.61
2690.00,98.61
2689.00,98.61
2688.00,98.61
2687.00,98.61
2686.00,98.61
2685.00,98.61
2684.00,98.61
2683.00,98.61
2682.00,98.61
2681.00,98.60
2680.00,98.60
2679.00,98.61
2678.00,98.61
2677.00,98.61
2676.00,98.61
2675.00,98.61
2674.00,98.61
2673.00,98.61
2672.00,98.61
2671.00,98.61
