Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
2823.00,92.99
2822.00,93.33
2821.00,93.64
2820.00,93.93
2819.00,94.20
2818.00,94.44
2817.00,94.67
2816.00,94.88
2815.00,95.08
2814.00,95.26
2813.00,95.43
2812.00,95.59
2811.00,95.74
2810.00,95.88
2809.00,96.02
2808.00,96.14
2807.00,96.26
2806.00,96.37
2805.00,96.48
2804.00,96.58
2803.00,96.68
2802.00,96.78
2801.00,96.87
2800.00,96.96
2799.00,97.04
2798.00,97.11
2797.00,97.18
2796.00,97.26
2795.00,97.33
2794.00,97.40
2793.00,97.46
2792.00,97.53
2791.00,97.59
2790.00,97.65
2789.00,97.71
2788.00,97.76
2787.00,97.82
2786.00,97.88
2785.00,97.93
2784.00,97.98
2783.00,98.03
2782.00,98.07
2781.00,98.11
2780.00,98.15
2779.00,98.19
2778.00,98.23
2777.00,98.26
2776.00,98.29
2775.00,98.32
2774.00,98.36
2773.00,98.39
2772.00,98.41
2771.00,98.44
2770.00,98.46
2769.00,98.48
2768.00,98.50
2767.00,98.52
2766.00,98.53
2765.00,98.55
2764.00,98.56
2763.00,98.57
2762.00,98.59
2761.00,98.61
2760.00,98.62
2759.00,98.64
2758.00,98.65
2757.00,98.66
2756.00,98.68
2755.00,98.69
2754.00,98.69
2753.00,98.70
2752.00,98.70
2751.00,98.70
2750.00,98.71
2749.00,98.71
2748.00,98.71
2747.00,98.71
2746.00,98.70
2745.00,98.70
2744.00,98.70
2743.00,98.70
2742.00,98.70
2741.00,98.70
2740.00,98.71
2739.00,98.71
2738.00,98.71
2737.00,98.71
2736.00,98.71
2735.00,98.71
2734.00,98.71
2733.00,98.72
2732.00,98.72
2731.00,98.73
2730.00,98.73
2729.00,98.74
2728.00,98.75
