Created as New Dataset,PE (high density) granule GF
cm-1,%T
3142.00,99.76
3141.00,99.76
3140.00,99.76
3139.00,99.76
3138.00,99.76
3137.00,99.76
3136.00,99.76
3135.00,99.76
3134.00,99.76
3133.00,99.76
3132.00,99.75
3131.00,99.75
3130.00,99.75
3129.00,99.75
3128.00,99.74
3127.00,99.74
3126.00,99.73
3125.00,99.73
3124.00,99.72
3123.00,99.73
3122.00,99.73
3121.00,99.73
3120.00,99.73
3119.00,99.72
3118.00,99.72
3117.00,99.71
3116.00,99.71
3115.00,99.70
3114.00,99.70
3113.00,99.69
3112.00,99.69
3111.00,99.68
3110.00,99.68
3109.00,99.67
3108.00,99.66
3107.00,99.65
3106.00,99.64
3105.00,99.63
3104.00,99.62
3103.00,99.61
3102.00,99.60
3101.00,99.58
3100.00,99.57
3099.00,99.55
3098.00,99.54
3097.00,99.52
3096.00,99.51
3095.00,99.50
3094.00,99.48
3093.00,99.47
3092.00,99.46
3091.00,99.46
3090.00,99.45
3089.00,99.45
3088.00,99.44
3087.00,99.43
3086.00,99.43
3085.00,99.42
3084.00,99.42
3083.00,99.41
3082.00,99.41
3081.00,99.41
3080.00,99.41
3079.00,99.41
3078.00,99.40
3077.00,99.40
3076.00,99.40
3075.00,99.39
3074.00,99.39
3073.00,99.38
3072.00,99.38
3071.00,99.37
3070.00,99.37
3069.00,99.36
3068.00,99.36
3067.00,99.35
3066.00,99.34
3065.00,99.34
3064.00,99.33
3063.00,99.32
3062.00,99.32
3061.00,99.31
3060.00,99.31
3059.00,99.30
3058.00,99.29
3057.00,99.28
3056.00,99.27
3055.00,99.26
3054.00,99.25
3053.00,99.24
3052.00,99.23
3051.00,99.22
3050.00,99.21
3049.00,99.19
3048.00,99.18
3047.00,99.17
3046.00,99.15
3045.00,99.14
3044.00,99.13
3043.00,99.11
3042.00,99.10
3041.00,99.08
3040.00,99.07
3039.00,99.05
3038.00,99.04
3037.00,99.03
3036.00,99.02
3035.00,99.02
3034.00,99.01
3033.00,99.00
3032.00,99.00
3031.00,98.99
3030.00,98.98
3029.00,98.98
3028.00,98.97
3027.00,98.97
3026.00,98.97
3025.00,98.96
3024.00,98.95
3023.00,98.95
3022.00,98.94
3021.00,98.94
3020.00,98.93
3019.00,98.93
3018.00,98.93
3017.00,98.92
3016.00,98.92
3015.00,98.91
3014.00,98.90
3013.00,98.89
3012.00,98.88
3011.00,98.86
3010.00,98.85
3009.00,98.84
3008.00,98.84
3007.00,98.82
3006.00,98.81
3005.00,98.80
3004.00,98.79
3003.00,98.77
3002.00,98.76
3001.00,98.74
3000.00,98.73
2999.00,98.71
2998.00,98.69
2997.00,98.67
2996.00,98.66
2995.00,98.64
2994.00,98.62
2993.00,98.60
2992.00,98.58
2991.00,98.55
2990.00,98.52
2989.00,98.49
2988.00,98.46
2987.00,98.43
2986.00,98.40
2985.00,98.36
2984.00,98.31
2983.00,98.26
2982.00,98.22
2981.00,98.17
2980.00,98.13
2979.00,98.08
2978.00,98.03
2977.00,97.98
2976.00,97.92
2975.00,97.85
2974.00,97.78
2973.00,97.71
2972.00,97.63
2971.00,97.55
2970.00,97.46
2969.00,97.38
2968.00,97.29
2967.00,97.19
2966.00,97.08
2965.00,96.97
2964.00,96.85
2963.00,96.72
2962.00,96.59
2961.00,96.44
2960.00,96.30
2959.00,96.14
2958.00,95.99
2957.00,95.83
2956.00,95.66
2955.00,95.48
2954.00,95.30
2953.00,95.10
2952.00,94.88
2951.00,94.63
2950.00,94.35
2949.00,94.03
2948.00,93.66
2947.00,93.23
2946.00,92.74
2945.00,92.17
2944.00,91.54
2943.00,90.83
2942.00,90.04
2941.00,89.18
2940.00,88.24
2939.00,87.21
